_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
9549,2,Sunnyside Beach,22W,2016-06-29,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9550,2,Sunnyside Beach,19W,2016-06-29,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9551,2,Sunnyside Beach,20W,2016-06-29,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9552,2,Sunnyside Beach,21W,2016-06-29,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9553,1,Marie Curtis Park East Beach,29W,2016-06-28,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9554,1,Marie Curtis Park East Beach,33W,2016-06-28,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9555,1,Marie Curtis Park East Beach,32W,2016-06-28,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9556,1,Marie Curtis Park East Beach,31W,2016-06-28,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
9557,1,Marie Curtis Park East Beach,30W,2016-06-28,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
9558,2,Sunnyside Beach,23W,2016-06-28,NA,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
9559,2,Sunnyside Beach,17W,2016-06-28,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
9560,2,Sunnyside Beach,18W,2016-06-28,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
9561,2,Sunnyside Beach,22W,2016-06-28,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
9562,2,Sunnyside Beach,19W,2016-06-28,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
9563,2,Sunnyside Beach,20W,2016-06-28,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
9564,2,Sunnyside Beach,21W,2016-06-28,120,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
9565,1,Marie Curtis Park East Beach,29W,2016-06-27,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
9566,1,Marie Curtis Park East Beach,33W,2016-06-27,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
9567,1,Marie Curtis Park East Beach,32W,2016-06-27,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
9568,1,Marie Curtis Park East Beach,31W,2016-06-27,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
